Local time in Braganca,T,U,Ff,RRR
01.01.2019 23:00,2.5,88.0,0.0,0
01.01.2019 22:00,3.8,82.0,1.0,0
01.01.2019 21:00,4.5,79.0,0.0,0
01.01.2019 20:00,7.7,68.0,0.0,0
01.01.2019 19:00,9.2,64.0,0.0,0
01.01.2019 18:00,10.3,57.0,0.0,0
01.01.2019 17:00,11.8,55.0,2.0,0
01.01.2019 16:00,13.3,48.0,2.0,0
01.01.2019 15:00,14.7,43.0,3.0,0
01.01.2019 14:00,14.7,43.0,2.0,0
01.01.2019 13:00,12.9,51.0,2.0,0
01.01.2019 12:00,10.3,60.0,1.0,0
01.01.2019 11:00,7.1,67.0,1.0,0
01.01.2019 10:00,4.5,77.0,0.0,0
01.01.2019 09:00,2.0,81.0,0.0,0
01.01.2019 08:00,0.1,90.0,0.0,0
01.01.2019 07:00,0.1,88.0,0.0,0
01.01.2019 05:00,-0.1,87.0,1.0,0
01.01.2019 04:00,0.6,87.0,1.0,0
01.01.2019 03:00,0.9,85.0,0.0,0
01.01.2019 02:00,1.4,83.0,0.0,0
01.01.2019 01:00,1.7,81.0,1.0,0
01.01.2019 00:00,2.7,82.0,0.0,0
31.12.2018 23:00,3.1,77.0,0.0,0
31.12.2018 22:00,4.6,77.0,0.0,0
31.12.2018 21:00,5.3,74.0,0.0,0
31.12.2018 20:00,7.2,66.0,0.0,0
31.12.2018 19:00,9.5,58.0,0.0,0
31.12.2018 18:00,10.5,58.0,0.0,0
31.12.2018 17:00,11.6,51.0,2.0,0
31.12.2018 16:00,15.1,33.0,2.0,0
31.12.2018 15:00,16.4,27.0,3.0,0
31.12.2018 14:00,15.5,35.0,2.0,0
31.12.2018 13:00,13.9,47.0,1.0,0
31.12.2018 12:00,10.4,54.0,1.0,0
31.12.2018 11:00,7.4,61.0,0.0,0
31.12.2018 10:00,4.1,68.0,1.0,0
31.12.2018 09:00,1.7,74.0,0.0,0
31.12.2018 08:00,-0.3,78.0,2.0,0
31.12.2018 07:00,0.8,77.0,0.0,0
31.12.2018 05:00,0.9,68.0,0.0,0
31.12.2018 04:00,0.1,70.0,0.0,0
31.12.2018 03:00,1.4,62.0,1.0,0
31.12.2018 02:00,1.2,65.0,0.0,0
31.12.2018 01:00,1.4,65.0,0.0,0
31.12.2018 00:00,0.9,71.0,1.0,0
30.12.2018 23:00,4.2,50.0,1.0,0
30.12.2018 22:00,4.0,56.0,0.0,0
30.12.2018 21:00,4.8,59.0,0.0,0
30.12.2018 20:00,6.4,46.0,0.0,0
30.12.2018 19:00,9.9,32.0,0.0,0
30.12.2018 18:00,11.2,31.0,1.0,0
30.12.2018 17:00,14.1,30.0,1.0,0
30.12.2018 16:00,15.3,29.0,1.0,0
30.12.2018 15:00,15.8,30.0,1.0,0
30.12.2018 14:00,15.3,31.0,1.0,0
30.12.2018 13:00,13.7,31.0,1.0,0
30.12.2018 12:00,11.7,51.0,0.0,0
30.12.2018 11:00,10.6,54.0,0.0,0
30.12.2018 10:00,5.5,74.0,0.0,0
30.12.2018 09:00,2.1,80.0,1.0,0
30.12.2018 08:00,1.0,75.0,1.0,0
30.12.2018 07:00,0.2,87.0,0.0,0
30.12.2018 05:00,1.5,78.0,0.0,0
30.12.2018 04:00,2.8,70.0,2.0,0
30.12.2018 03:00,5.0,63.0,2.0,0
30.12.2018 02:00,5.1,64.0,2.0,0
30.12.2018 01:00,5.2,68.0,3.0,0
30.12.2018 00:00,6.1,65.0,0.0,0
29.12.2018 23:00,5.7,69.0,0.0,0
29.12.2018 22:00,6.6,65.0,1.0,0
29.12.2018 21:00,7.5,65.0,1.0,0
29.12.2018 20:00,7.8,64.0,1.0,0
29.12.2018 19:00,8.7,57.0,1.0,0
29.12.2018 18:00,9.8,53.0,2.0,0
29.12.2018 17:00,11.3,44.0,4.0,0
29.12.2018 16:00,12.8,45.0,2.0,0
29.12.2018 15:00,13.2,52.0,2.0,0
29.12.2018 14:00,12.2,58.0,1.0,0
29.12.2018 13:00,10.5,68.0,1.0,0
29.12.2018 12:00,8.7,75.0,1.0,0
29.12.2018 11:00,7.0,79.0,0.0,0
29.12.2018 10:00,5.3,89.0,0.0,0
29.12.2018 09:00,2.1,97.0,0.0,0
29.12.2018 08:00,0.6,99.0,0.0,0
29.12.2018 07:00,-0.4,97.0,0.0,0
29.12.2018 05:00,0.4,97.0,1.0,0
29.12.2018 04:00,0.5,96.0,1.0,0
29.12.2018 03:00,1.8,97.0,0.0,0
29.12.2018 02:00,1.1,94.0,1.0,0
29.12.2018 01:00,2.6,97.0,0.0,0
29.12.2018 00:00,2.3,97.0,0.0,0
28.12.2018 23:00,3.0,95.0,1.0,0
28.12.2018 22:00,3.4,91.0,2.0,0
28.12.2018 21:00,5.7,85.0,1.0,0.1
28.12.2018 20:00,4.8,90.0,1.0,0
28.12.2018 19:00,7.8,78.0,1.0,0
