temp,RH,wind,rain,month,day,class
2.5,88.0,0.0,0.0,1,2,0
3.8,82.0,1.0,0.0,1,2,0
4.5,79.0,0.0,0.0,1,2,0
7.7,68.0,0.0,0.0,1,2,0
9.2,64.0,0.0,0.0,1,2,0
10.3,57.0,0.0,0.0,1,2,0
11.8,55.0,2.0,0.0,1,2,0
13.3,48.0,2.0,0.0,1,2,0
14.7,43.0,3.0,0.0,1,2,0
14.7,43.0,2.0,0.0,1,2,0
12.9,51.0,2.0,0.0,1,2,0
10.3,60.0,1.0,0.0,1,2,0
7.1,67.0,1.0,0.0,1,2,0
4.5,77.0,0.0,0.0,1,2,0
2.0,81.0,0.0,0.0,1,2,0
0.1,90.0,0.0,0.0,1,2,0
0.1,88.0,0.0,0.0,1,2,0
-0.1,87.0,1.0,0.0,1,2,0
0.6,87.0,1.0,0.0,1,2,0
0.9,85.0,0.0,0.0,1,2,0
1.4,83.0,0.0,0.0,1,2,0
1.7,81.0,1.0,0.0,1,2,0
2.7,82.0,0.0,0.0,1,2,0
3.1,77.0,0.0,0.0,12,1,0
4.6,77.0,0.0,0.0,12,1,0
5.3,74.0,0.0,0.0,12,1,0
7.2,66.0,0.0,0.0,12,1,0
9.5,58.0,0.0,0.0,12,1,0
10.5,58.0,0.0,0.0,12,1,0
11.6,51.0,2.0,0.0,12,1,0
15.1,33.0,2.0,0.0,12,1,0
16.4,27.0,3.0,0.0,12,1,0
15.5,35.0,2.0,0.0,12,1,0
13.9,47.0,1.0,0.0,12,1,0
10.4,54.0,1.0,0.0,12,1,0
7.4,61.0,0.0,0.0,12,1,0
4.1,68.0,1.0,0.0,12,1,0
1.7,74.0,0.0,0.0,12,1,0
-0.3,78.0,2.0,0.0,12,1,0
0.8,77.0,0.0,0.0,12,1,0
0.9,68.0,0.0,0.0,12,1,0
0.1,70.0,0.0,0.0,12,1,0
1.4,62.0,1.0,0.0,12,1,0
1.2,65.0,0.0,0.0,12,1,0
1.4,65.0,0.0,0.0,12,1,0
0.9,71.0,1.0,0.0,12,1,0
4.2,50.0,1.0,0.0,12,7,0
4.0,56.0,0.0,0.0,12,7,0
4.8,59.0,0.0,0.0,12,7,0
6.4,46.0,0.0,0.0,12,7,0
9.9,32.0,0.0,0.0,12,7,0
11.2,31.0,1.0,0.0,12,7,0
14.1,30.0,1.0,0.0,12,7,0
15.3,29.0,1.0,0.0,12,7,0
15.8,30.0,1.0,0.0,12,7,0
15.3,31.0,1.0,0.0,12,7,0
13.7,31.0,1.0,0.0,12,7,0
11.7,51.0,0.0,0.0,12,7,0
10.6,54.0,0.0,0.0,12,7,0
5.5,74.0,0.0,0.0,12,7,0
2.1,80.0,1.0,0.0,12,7,0
1.0,75.0,1.0,0.0,12,7,0
0.2,87.0,0.0,0.0,12,7,0
1.5,78.0,0.0,0.0,12,7,0
2.8,70.0,2.0,0.0,12,7,0
5.0,63.0,2.0,0.0,12,7,0
5.1,64.0,2.0,0.0,12,7,0
5.2,68.0,3.0,0.0,12,7,0
6.1,65.0,0.0,0.0,12,7,0
5.7,69.0,0.0,0.0,12,6,0
6.6,65.0,1.0,0.0,12,6,0
7.5,65.0,1.0,0.0,12,6,0
7.8,64.0,1.0,0.0,12,6,0
8.7,57.0,1.0,0.0,12,6,0
9.8,53.0,2.0,0.0,12,6,0
11.3,44.0,4.0,0.0,12,6,0
12.8,45.0,2.0,0.0,12,6,0
13.2,52.0,2.0,0.0,12,6,0
12.2,58.0,1.0,0.0,12,6,0
10.5,68.0,1.0,0.0,12,6,0
8.7,75.0,1.0,0.0,12,6,0
7.0,79.0,0.0,0.0,12,6,0
5.3,89.0,0.0,0.0,12,6,0
2.1,97.0,0.0,0.0,12,6,0
0.6,99.0,0.0,0.0,12,6,0
-0.4,97.0,0.0,0.0,12,6,0
0.4,97.0,1.0,0.0,12,6,0
0.5,96.0,1.0,0.0,12,6,0
1.8,97.0,0.0,0.0,12,6,0
1.1,94.0,1.0,0.0,12,6,0
2.6,97.0,0.0,0.0,12,6,0
2.3,97.0,0.0,0.0,12,6,0
3.0,95.0,1.0,0.0,12,5,0
3.4,91.0,2.0,0.0,12,5,0
5.7,85.0,1.0,0.1,12,5,0
4.8,90.0,1.0,0.0,12,5,0
7.8,78.0,1.0,0.0,12,5,0
8.7,69.0,0.0,0.1,12,5,0
9.7,63.0,0.0,0.0,12,5,0
10.7,62.0,1.0,0.0,12,5,0
11.0,65.0,1.0,0.0,12,5,0
10.0,77.0,1.0,0.0,12,5,0
5.6,98.0,0.0,0.0,12,5,0
4.0,99.0,0.0,0.0,12,5,0
2.0,99.0,0.0,0.0,12,5,0
1.8,99.0,0.0,0.0,12,5,0
1.4,99.0,0.0,0.0,12,5,0
1.5,99.0,0.0,0.0,12,5,0
2.2,99.0,0.0,0.0,12,5,0
2.5,99.0,0.0,0.1,12,5,0
3.3,99.0,0.0,0.1,12,5,0
3.5,99.0,0.0,0.0,12,5,0
3.3,99.0,0.0,0.0,12,5,0
4.0,99.0,0.0,0.0,12,5,0
3.8,98.0,0.0,0.0,12,5,0
3.9,98.0,0.0,0.0,12,5,0
3.7,98.0,0.0,0.0,12,4,0
3.7,97.0,1.0,0.0,12,4,0
4.6,95.0,0.0,0.1,12,4,0
4.8,94.0,1.0,0.0,12,4,0
5.3,95.0,0.0,0.0,12,4,0
5.4,94.0,0.0,0.1,12,4,0
5.5,93.0,0.0,0.0,12,4,0
5.2,95.0,1.0,0.0,12,4,0
5.1,96.0,1.0,0.0,12,4,0
3.7,99.0,0.0,0.0,12,4,0
3.0,99.0,0.0,0.0,12,4,0
2.0,99.0,0.0,0.1,12,4,0
1.0,99.0,0.0,0.0,12,4,0
0.2,99.0,1.0,0.0,12,4,0
-0.2,99.0,1.0,0.0,12,4,0
-0.7,99.0,0.0,0.0,12,4,0
-0.4,99.0,0.0,0.0,12,4,0
-0.4,99.0,0.0,0.0,12,4,0
-0.1,99.0,0.0,0.0,12,4,0
-0.1,99.0,0.0,0.0,12,4,0
0.2,99.0,0.0,0.0,12,4,0
0.5,99.0,0.0,0.0,12,4,0
1.8,98.0,0.0,0.0,12,4,0
1.8,98.0,0.0,0.0,12,3,0
3.0,97.0,0.0,0.0,12,3,0
3.5,97.0,0.0,0.0,12,3,0
4.6,95.0,0.0,0.0,12,3,0
5.8,90.0,0.0,0.0,12,3,0
6.9,85.0,0.0,0.0,12,3,0
7.3,84.0,0.0,0.0,12,3,0
8.9,78.0,0.0,0.0,12,3,0
7.8,94.0,1.0,0.0,12,3,0
6.5,99.0,1.0,0.0,12,3,0
5.3,99.0,0.0,0.0,12,3,0
3.7,99.0,0.0,0.0,12,3,0
2.5,99.0,0.0,0.0,12,3,0
2.1,99.0,0.0,0.0,12,3,0
1.0,99.0,0.0,0.0,12,3,0
0.8,99.0,0.0,0.0,12,3,0
1.0,99.0,0.0,0.0,12,3,0
1.2,99.0,0.0,0.2,12,3,0
1.3,99.0,0.0,0.1,12,3,0
1.8,99.0,0.0,0.0,12,3,0
2.1,99.0,0.0,0.0,12,3,0
2.0,99.0,0.0,0.1,12,3,0
2.4,99.0,0.0,0.0,12,3,0
2.6,98.0,0.0,0.0,12,3,0
2.5,98.0,0.0,0.0,12,2,0
4.2,97.0,0.0,0.0,12,2,0
5.3,97.0,0.0,0.0,12,2,0
5.9,95.0,0.0,0.0,12,2,0
7.1,91.0,0.0,0.0,12,2,0
8.5,85.0,1.0,0.1,12,2,0
8.9,83.0,1.0,0.0,12,2,0
10.4,80.0,1.0,0.0,12,2,0
10.7,79.0,1.0,0.0,12,2,0
9.5,87.0,1.0,0.0,12,2,0
7.5,99.0,1.0,0.0,12,2,0
5.3,99.0,1.0,0.1,12,2,0
3.4,99.0,0.0,0.0,12,2,0
2.6,99.0,1.0,0.0,12,2,0
1.7,99.0,0.0,0.1,12,2,0
1.9,99.0,0.0,0.0,12,2,0
2.1,99.0,0.0,0.0,12,2,0
2.1,99.0,0.0,0.2,12,2,0
2.5,99.0,1.0,0.0,12,2,0
2.5,99.0,0.0,0.1,12,2,0
2.9,99.0,0.0,0.0,12,2,0
3.4,98.0,0.0,0.0,12,2,0
3.6,99.0,0.0,0.1,12,2,0
4.1,98.0,0.0,0.0,12,2,0
4.3,99.0,0.0,0.0,12,1,0
4.7,98.0,0.0,0.0,12,1,0
5.0,98.0,0.0,0.1,12,1,0
5.9,97.0,1.0,0.0,12,1,0
5.6,96.0,1.0,0.0,12,1,0
6.5,94.0,0.0,0.2,12,1,0
6.9,93.0,0.0,0.0,12,1,0
7.3,92.0,0.0,0.0,12,1,0
7.8,92.0,3.0,0.0,12,1,0
6.3,99.0,0.0,0.0,12,1,0
5.8,99.0,0.0,0.0,12,1,0
4.6,99.0,0.0,0.2,12,1,0
2.7,99.0,0.0,0.0,12,1,0
2.0,99.0,0.0,0.1,12,1,0
1.5,99.0,0.0,0.0,12,1,0
1.8,99.0,0.0,0.0,12,1,0
2.0,99.0,0.0,0.1,12,1,0
2.4,99.0,0.0,0.1,12,1,0
2.7,99.0,0.0,0.0,12,1,0
3.2,99.0,0.0,0.0,12,1,0
3.7,98.0,0.0,0.0,12,1,0
4.0,98.0,0.0,0.1,12,1,0
4.4,98.0,0.0,0.0,12,1,0
4.4,98.0,0.0,0.0,12,1,0
4.6,97.0,0.0,0.0,12,7,0
5.2,97.0,0.0,0.0,12,7,0
5.8,96.0,0.0,0.0,12,7,0
5.7,96.0,1.0,0.0,12,7,0
6.7,93.0,0.0,0.0,12,7,0
7.8,88.0,1.0,0.0,12,7,0
8.4,86.0,1.0,0.0,12,7,0
9.0,84.0,1.0,0.0,12,7,0
9.3,83.0,1.0,0.0,12,7,0
9.2,83.0,1.0,0.0,12,7,0
8.8,84.0,2.0,0.0,12,7,0
8.9,84.0,2.0,0.0,12,7,0
8.7,83.0,2.0,0.0,12,7,0
8.1,84.0,1.0,0.0,12,7,0
7.7,87.0,1.0,0.0,12,7,0
